"trade_id","date_trade","date_exit","country","ticker","price_entry"
"G2020072701001",2020-07-27,"2020-08-25","Hong Kong","317:HK",11.28
"G2020072701002",2020-07-27,"2020-08-25","Hong Kong","819:HK",17.54
"G2020072701003",2020-07-27,"2020-08-26","Japan","3546:JP",1343
