"trade_id","date_trade","date_exit","country","ticker","price_entry"
"G2020070201001",2020-07-02,"2020-07-31","Hong Kong","819:HK",13.8
"G2020070201002",2020-07-02,"2020-08-04","Japan","6937:JP",1233
