"trade_id","date_trade","date_exit","country","ticker","price_entry"
"G2020072801001",2020-07-28,"2020-08-26","Hong Kong","1812:HK",3.64
"G2020072801002",2020-07-28,"2020-08-26","Hong Kong","317:HK",10.86
"G2020072801003",2020-07-28,"2020-08-27","Japan","2790:JP",1764
"G2020072801004",2020-07-28,"2020-08-27","Japan","3546:JP",1376
"G2020072801005",2020-07-28,"2020-08-27","Japan","8168:JP",893
"G2020072801006",2020-07-28,"2020-08-27","Japan","9835:JP",737
