"trade_id","date_trade","date_exit","country","ticker","price_entry"
"G2020082501001",2020-08-25,"2020-09-23","Hong Kong","1432:HK",0.78
"G2020082501002",2020-08-25,"2020-09-23","Hong Kong","1848:HK",7.24
"G2020082501003",2020-08-25,"2020-09-23","Hong Kong","762:HK",6.15
"G2020082501004",2020-08-25,"2020-09-25","Japan","2150:JP",2899
"G2020082501005",2020-08-25,"2020-09-25","Japan","3628:JP",3635
"G2020082501006",2020-08-25,"2020-09-25","Japan","6279:JP",1152
