"trade_id","date_trade","date_exit","country","ticker","price_entry"
"G2020090401001",2020-09-04,"2020-10-07","Japan","3628:JP",4195
"G2020090401002",2020-09-04,"2020-10-07","Japan","6279:JP",1071
