"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021022601001",2021-02-26,2021-03-29,"Australia","PGH:AU",3.27,"closed",3.57,NA,0.0917431192660549,2021-03-30
"G2021022601002",2021-02-26,2021-03-29,"Japan","2138:JP",2280,"closed",2202,NA,-0.0342105263157895,2021-03-30
"G2021022601003",2021-02-26,2021-03-29,"Japan","3298:JP",17220,"closed",17330,NA,0.00638792102206742,2021-03-30
"G2021022601004",2021-02-26,2021-03-29,"Japan","3463:JP",89700,"closed",84000,NA,-0.0635451505016722,2021-03-30
"G2021022601005",2021-02-26,2021-03-29,"Japan","5269:JP",433,"closed",416.5,NA,-0.0381062355658198,2021-03-30
"G2021022601006",2021-02-26,2021-03-29,"Japan","5938:JP",2986,"closed",3200,NA,0.0716677829872741,2021-03-30
"G2021022601007",2021-02-26,2021-03-29,"Japan","6035:JP",12900,"closed",13430,NA,0.0410852713178294,2021-03-30
"G2021022601008",2021-02-26,2021-03-29,"Japan","6077:JP",1197,"closed",1199,NA,0.00167084377610704,2021-03-30
"G2021022601009",2021-02-26,2021-03-29,"Japan","6620:JP",1060,"closed",910,NA,-0.141509433962264,2021-03-30
"G2021022601010",2021-02-26,2021-03-29,"Japan","7963:JP",1866,"closed",1981,NA,0.0616291532690247,2021-03-30
"G2021022603001",2021-02-26,2021-03-29,"United States","AGCO:US",130.23,"closed",NA,NA,NA,2021-03-30
"G2021022603002",2021-02-26,2021-03-29,"United States","ATKR:US",67.62,"closed",NA,NA,NA,2021-03-30
"G2021022603003",2021-02-26,2021-03-29,"United States","AVNW:US",61.93,"closed",65.410004,NA,0.056192539964476,2021-03-30
"G2021022603004",2021-02-26,2021-03-29,"United States","FIZZ:US",49.31,"closed",48.369999,NA,-0.0190630906509837,2021-03-30
"G2021022603005",2021-02-26,2021-03-29,"United States","KLIC:US",50.29,"closed",NA,NA,NA,2021-03-30
"G2021022603006",2021-02-26,2021-03-29,"United States","QLYS:US",97.9,"closed",NA,NA,NA,2021-03-30
