"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020110901002",2020-11-09,2020-12-09,"Japan","3891:JP",1890,"closed",2586,NA,0.368253968253968,2020-12-10
"G2020111001001",2020-11-10,2020-12-09,"Hong Kong","1108:HK",4.68,"closed",4.45,NA,-0.0491452991452991,2020-12-10
"G2020111002001",2020-11-10,2020-12-09,"Netherlands","FLOW:NA",26.12,"closed",25.360001,NA,-0.0290964395099541,2020-12-10
"G2020111002002",2020-11-10,2020-12-09,"United Kingdom","RCH:LN",152.216,"closed",134.199997,NA,-0.118358142376623,2020-12-10
