"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020100101001",2020-10-01,2020-10-30,"Japan","1811:JP",4765,"closed",4680,NA,-0.0178384050367262,2020-10-31
"G2020100101002",2020-10-01,2020-10-30,"Japan","2373:JP",2900,"closed",2103,NA,-0.274827586206897,2020-10-31
"G2020100101003",2020-10-01,2020-10-30,"Japan","4421:JP",2659,"closed",1635,NA,-0.385107183151561,2020-10-31
"G2020100101004",2020-10-01,2020-10-30,"Japan","7228:JP",1984,"closed",1996,NA,0.00604838709677424,2020-10-31
"G2020100101005",2020-10-01,2020-10-30,"Japan","8174:JP",5330,"closed",4990,NA,-0.0637898686679175,2020-10-31
"G2020100102001",2020-10-01,2020-10-30,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2020-10-31
"G2020100103001",2020-10-01,2020-10-30,"United States","CIEN:US",39.57,"closed",39.389999,NA,-0.00454892595400547,2020-10-31
