"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020122301001",2020-12-23,2021-01-28,"Australia","AHY:AU",1.37,"closed",1.295,NA,-0.0547445255474454,2021-01-29
"G2020122402001",2020-12-24,2021-01-28,"Italy","MOL:IM",34.3,"closed",31.5,NA,-0.0816326530612244,2021-01-29
"G2020122501001",2020-12-25,2021-01-28,"Japan","6785:JP",1198,"closed",1184,NA,-0.011686143572621,2021-01-29
"G2020122501002",2020-12-25,2021-01-28,"Japan","6966:JP",3750,"closed",4100,NA,0.0933333333333333,2021-01-29
"G2020122501003",2020-12-25,2021-01-28,"Japan","7004:JP",596,"closed",624,NA,0.0469798657718121,2021-01-29
"G2020122802001",2020-12-28,2021-01-28,"United Kingdom","LOOP:LN",80,"closed",75,NA,-0.0625,2021-01-29
"G2020122803001",2020-12-28,2021-01-28,"United States","DJCO:US",355.5,"closed",340,NA,-0.0436005625879043,2021-01-29
"G2020122803002",2020-12-28,2021-01-28,"United States","ESI:US",17.945,"closed",NA,NA,NA,2021-01-29
"G2020122803003",2020-12-28,2021-01-28,"United States","FLNT:US",5.86,"closed",5.41,NA,-0.0767918088737202,2021-01-29
"G2020122803004",2020-12-28,2021-01-28,"United States","LAKE:US",29.46,"closed",28.059999,NA,-0.0475220977596741,2021-01-29
"G2020122803005",2020-12-28,2021-01-28,"United States","MITK:US",17.77,"closed",NA,NA,NA,2021-01-29
"G2020122803006",2020-12-28,2021-01-28,"United States","NNA:US",3.1601,"closed",NA,NA,NA,2021-01-29
"G2020122803007",2020-12-28,2021-01-28,"United States","SWI:US",15.03,"closed",16.77,NA,0.115768463073852,2021-01-29
"G2020122901002",2020-12-29,2021-01-28,"Hong Kong","503:HK",1.81,"closed",1.89,NA,0.0441988950276242,2021-01-29
