"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020073101002",2020-07-31,2020-09-01,"Japan","2790:JP",1861,"closed",2104,NA,0.130574959699087,2020-09-02
"G2020080301001",2020-08-03,2020-09-01,"Hong Kong","1432:HK",0.54,"closed",0.68,NA,0.259259259259259,2020-09-02
"G2020080301002",2020-08-03,2020-09-01,"Hong Kong","317:HK",11.5,"closed",8.88,NA,-0.227826086956522,2020-09-02
"G2020080301003",2020-08-03,2020-09-01,"Hong Kong","3323:HK",12.5,"closed",11.08,NA,-0.1136,2020-09-02
