"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020100901001",2020-10-09,2020-11-10,"Hong Kong","6865:HK",25.35,"closed",21.450001,NA,-0.153846114398422,2020-11-11
"G2020100901002",2020-10-09,2020-11-10,"Japan","3396:JP",1455,"closed",1289,NA,-0.114089347079038,2020-11-11
"G2020100901003",2020-10-09,2020-11-10,"Japan","4421:JP",2225,"closed",1742,NA,-0.217078651685393,2020-11-11
"G2020100901004",2020-10-09,2020-11-10,"Japan","7228:JP",1975,"closed",1840,NA,-0.0683544303797469,2020-11-11
"G2020100901005",2020-10-09,2020-11-10,"Japan","9360:JP",3380,"closed",2562,NA,-0.242011834319527,2020-11-11
