"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020080701003",2020-08-07,2020-09-08,"Japan","2790:JP",2014,"closed",2161,NA,0.0729890764647467,2020-09-09
"G2020080701004",2020-08-07,2020-09-08,"Japan","3542:JP",3080,"closed",3170,NA,0.0292207792207793,2020-09-09
"G2020081001001",2020-08-10,2020-09-08,"Hong Kong","1432:HK",0.84,"closed",0.59,NA,-0.297619047619048,2020-09-09
"G2020081001002",2020-08-10,2020-09-08,"Hong Kong","3323:HK",13,"closed",10.84,NA,-0.166153846153846,2020-09-09
"G2020081001003",2020-08-10,2020-09-08,"Hong Kong","373:HK",71,"closed",NA,NA,NA,2020-09-09
