"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020122202001",2020-12-22,2021-01-26,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2021-01-27
"G2020122202002",2020-12-22,2021-01-26,"United Kingdom","LOOP:LN",76.2,"closed",80,NA,0.0498687664041995,2021-01-27
"G2020122203001",2020-12-22,2021-01-26,"United States","CLNE:US",7.365,"closed",11.54,NA,0.566870332654447,2021-01-27
"G2020122203002",2020-12-22,2021-01-26,"United States","ESI:US",17.965,"closed",16.950001,NA,-0.0564986919009184,2021-01-27
"G2020122203003",2020-12-22,2021-01-26,"United States","MITK:US",18.9,"closed",NA,NA,NA,2021-01-27
"G2020122203004",2020-12-22,2021-01-26,"United States","NNA:US",3.03,"closed",3.45,NA,0.138613861386139,2021-01-27
"G2020122203005",2020-12-22,2021-01-26,"United States","SWI:US",15.95,"closed",16.860001,NA,0.0570533542319751,2021-01-27
"G2020122301002",2020-12-23,2021-01-26,"Japan","1939:JP",2766,"closed",2662,NA,-0.0375994215473608,2021-01-27
"G2020122301003",2020-12-23,2021-01-26,"Japan","7004:JP",529,"closed",649,NA,0.226843100189036,2021-01-27
