"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021011401004",2021-01-14,2021-02-15,"Japan","2804:JP",1999,"closed",2370,NA,0.185592796398199,2021-02-16
"G2021011401005",2021-01-14,2021-02-15,"Japan","2927:JP",913,"closed",1085,NA,0.188389923329682,2021-02-16
"G2021011401006",2021-01-14,2021-02-15,"Japan","6323:JP",8100,"closed",8150,NA,0.00617283950617287,2021-02-16
"G2021011401007",2021-01-14,2021-02-15,"Japan","7004:JP",664,"closed",660,NA,-0.00602409638554213,2021-02-16
