"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020121601001",2020-12-16,2021-01-19,"Australia","AHY:AU",1.3,"closed",NA,NA,NA,2021-01-20
"G2020121602002",2020-12-16,2021-01-19,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2021-01-20
"G2020121602003",2020-12-16,2021-01-19,"United Kingdom","LOOP:LN",74.1,"closed",NA,NA,NA,2021-01-20
"G2020121702001",2020-12-17,2021-01-19,"Italy","MOL:IM",33.5,"closed",NA,NA,NA,2021-01-20
"G2020121703001",2020-12-17,2021-01-19,"United States","ESI:US",17.7601,"closed",NA,NA,NA,2021-01-20
"G2020121703002",2020-12-17,2021-01-19,"United States","OSB:US",44.37,"closed",40.380001,NA,-0.0899256028848321,2021-01-20
"G2020121801002",2020-12-18,2021-01-19,"Japan","6331:JP",2800,"closed",3505,NA,0.251785714285714,2021-01-20
"G2020121801003",2020-12-18,2021-01-19,"Japan","6966:JP",3690,"closed",4520,NA,0.224932249322493,2021-01-20
