"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020093001001",2020-09-30,2020-10-29,"Japan","1811:JP",4760,"closed",4725,NA,-0.00735294117647056,2020-10-30
"G2020093001002",2020-09-30,2020-10-29,"Japan","2373:JP",2851,"closed",2278,NA,-0.200982111539811,2020-10-30
"G2020093001003",2020-09-30,2020-10-29,"Japan","3546:JP",1714,"closed",NA,NA,NA,2020-10-30
"G2020093001004",2020-09-30,2020-10-29,"Japan","4421:JP",2658,"closed",1698,NA,-0.36117381489842,2020-10-30
"G2020093001005",2020-09-30,2020-10-29,"Japan","7228:JP",1979,"closed",1994,NA,0.00757958564931793,2020-10-30
"G2020093001006",2020-09-30,2020-10-29,"Japan","8174:JP",5370,"closed",5070,NA,-0.0558659217877095,2020-10-30
"G2020093002001",2020-09-30,2020-10-29,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2020-10-30
"G2020093003001",2020-09-30,2020-10-29,"United States","CIEN:US",39.47,"closed",38.810001,NA,-0.0167215353432987,2020-10-30
