"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020102801001",2020-10-28,2020-11-30,"Japan","3891:JP",1783,"closed",2292,NA,0.285473920358946,2020-12-01
"G2020102801002",2020-10-28,2020-11-30,"Japan","6666:JP",1337,"closed",1500,NA,0.121914734480179,2020-12-01
"G2020102801003",2020-10-28,2020-11-30,"Japan","8168:JP",763,"closed",742,NA,-0.0275229357798165,2020-12-01
"G2020102801004",2020-10-28,2020-11-30,"Japan","9759:JP",1805,"closed",1995,NA,0.105263157894737,2020-12-01
"G2020102801005",2020-10-28,2020-11-30,"Japan","9974:JP",6400,"closed",6110,NA,-0.0453125,2020-12-01
