"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021030401001",2021-03-04,2021-04-06,"Australia","EGG:AU",2.99,"closed",NA,NA,NA,2021-04-07
"G2021030401002",2021-03-04,2021-04-06,"Australia","PGH:AU",3.17,"closed",NA,NA,NA,2021-04-07
"G2021030503001",2021-03-05,2021-04-06,"United States","CHE:US",427.09,"closed",NA,NA,NA,2021-04-07
"G2021030503002",2021-03-05,2021-04-06,"United States","IMKTA:US",58.75,"closed",62.630001,NA,0.066042570212766,2021-04-07
"G2021030503003",2021-03-05,2021-04-06,"United States","THS:US",52.94,"closed",NA,NA,NA,2021-04-07
"G2021030801003",2021-03-08,2021-04-06,"Japan","2138:JP",2038,"closed",2279,NA,0.118253189401374,2021-04-07
"G2021030801004",2021-03-08,2021-04-06,"Japan","2175:JP",3190,"closed",3385,NA,0.061128526645768,2021-04-07
"G2021030801005",2021-03-08,2021-04-06,"Japan","5290:JP",2410,"closed",2651,NA,0.1,2021-04-07
"G2021030801006",2021-03-08,2021-04-06,"Japan","6035:JP",12550,"closed",14080,NA,0.12191235059761,2021-04-07
"G2021030801007",2021-03-08,2021-04-06,"Japan","6077:JP",1197,"closed",1230,NA,0.0275689223057645,2021-04-07
"G2021030801008",2021-03-08,2021-04-06,"Japan","6620:JP",1106,"closed",911,NA,-0.176311030741411,2021-04-07
