"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021022401001",2021-02-24,2021-03-25,"Japan","2138:JP",2222,"closed",2156,NA,-0.0297029702970297,2021-03-26
"G2021022401002",2021-02-24,2021-03-25,"Japan","3298:JP",17310,"closed",16890,NA,-0.024263431542461,2021-03-26
"G2021022401003",2021-02-24,2021-03-25,"Japan","3463:JP",90500,"closed",84700,NA,-0.0640883977900553,2021-03-26
"G2021022401004",2021-02-24,2021-03-25,"Japan","5269:JP",413,"closed",420,NA,0.0169491525423728,2021-03-26
"G2021022401005",2021-02-24,2021-03-25,"Japan","6035:JP",13200,"closed",12780,NA,-0.0318181818181819,2021-03-26
"G2021022401006",2021-02-24,2021-03-25,"Japan","6620:JP",1050,"closed",915,NA,-0.128571428571429,2021-03-26
"G2021022401007",2021-02-24,2021-03-25,"Japan","8624:JP",611,"closed",656,NA,0.0736497545008183,2021-03-26
"G2021022403001",2021-02-24,2021-03-25,"Canada","BLX:CN",42.08,"closed",38.5,NA,-0.0850760456273764,2021-03-26
"G2021022403002",2021-02-24,2021-03-25,"Canada","CGG:CN",3.53,"closed",3.33,NA,-0.0566572237960339,2021-03-26
"G2021022403003",2021-02-24,2021-03-25,"United States","ATKR:US",68.26,"closed",NA,NA,NA,2021-03-26
"G2021022403004",2021-02-24,2021-03-25,"United States","AVNW:US",66.99,"closed",NA,NA,NA,2021-03-26
"G2021022403005",2021-02-24,2021-03-25,"United States","HIMX:US",14.0512,"closed",NA,NA,NA,2021-03-26
"G2021022403006",2021-02-24,2021-03-25,"United States","TDC:US",43.475,"closed",38.459999,NA,-0.115353674525589,2021-03-26
