"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020100601001",2020-10-06,2020-11-05,"Hong Kong","6865:HK",23.6,"closed",21.4,NA,-0.0932203389830509,2020-11-06
"G2020100601002",2020-10-06,2020-11-05,"Japan","1811:JP",4760,"closed",4575,NA,-0.0388655462184874,2020-11-06
"G2020100601003",2020-10-06,2020-11-05,"Japan","2373:JP",2675,"closed",2243,NA,-0.161495327102804,2020-11-06
"G2020100601004",2020-10-06,2020-11-05,"Japan","4421:JP",2320,"closed",1721,NA,-0.258189655172414,2020-11-06
"G2020100601005",2020-10-06,2020-11-05,"Japan","7228:JP",2038,"closed",1956,NA,-0.0402355250245339,2020-11-06
"G2020100601006",2020-10-06,2020-11-05,"Japan","8184:JP",4190,"closed",NA,NA,NA,2020-11-06
"G2020100601007",2020-10-06,2020-11-05,"Japan","9360:JP",3610,"closed",2453,NA,-0.320498614958449,2020-11-06
"G2020100702001",2020-10-07,2020-11-05,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2020-11-06
