"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020120902002",2020-12-09,2021-01-12,"Netherlands","ASM:NA",166.5,"closed",195.850006,NA,0.176276312312312,2021-01-13
"G2020120902003",2020-12-09,2021-01-12,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2021-01-13
"G2020120902004",2020-12-09,2021-01-12,"Norway","BWLPGO:NO",58.95,"closed",NA,NA,NA,2021-01-13
"G2020120902005",2020-12-09,2021-01-12,"Sweden","ARP:SS",12.8,"closed",15.4,NA,0.203125,2021-01-13
"G2020120902006",2020-12-09,2021-01-12,"Sweden","SVIK:SS",91.4,"closed",103.5,NA,0.132385120350109,2021-01-13
"G2020120902007",2020-12-09,2021-01-12,"United Kingdom","LOOP:LN",76,"closed",84,NA,0.105263157894737,2021-01-13
"G2020121002002",2020-12-10,2021-01-12,"Italy","MOL:IM",33.3,"closed",NA,NA,NA,2021-01-13
"G2020121003001",2020-12-10,2021-01-12,"United States","OSB:US",43.57,"closed",40.810001,NA,-0.0633463162726647,2021-01-13
"G2020121101002",2020-12-11,2021-01-12,"Japan","4115:JP",1798,"closed",1811,NA,0.00723025583982206,2021-01-13
"G2020121101003",2020-12-11,2021-01-12,"Japan","6264:JP",1253,"closed",1402,NA,0.118914604948124,2021-01-13
"G2020121101004",2020-12-11,2021-01-12,"Japan","6315:JP",1970,"closed",2200,NA,0.116751269035533,2021-01-13
"G2020121101005",2020-12-11,2021-01-12,"Japan","6331:JP",3130,"closed",3315,NA,0.0591054313099042,2021-01-13
