"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020102101001",2020-10-21,2020-11-20,"Japan","3371:JP",3695,"closed",NA,NA,NA,2020-11-21
"G2020102101002",2020-10-21,2020-11-20,"Japan","6666:JP",1261,"closed",NA,NA,NA,2020-11-21
"G2020102101003",2020-10-21,2020-11-20,"Japan","9273:JP",3185,"closed",NA,NA,NA,2020-11-21
"G2020102101004",2020-10-21,2020-11-20,"Japan","9360:JP",3155,"closed",NA,NA,NA,2020-11-21
"G2020102203001",2020-10-22,2020-11-20,"United States","DAR:US",45.985,"closed",47.52,NA,0.0333804501467871,2020-11-21
