"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021011301001",2021-01-13,2021-02-16,"Hong Kong","2883:HK",8.21,"closed",10.88,NA,0.325213154689403,2021-02-17
"G2021011301002",2021-01-13,2021-02-16,"Hong Kong","3993:HK",5.69,"closed",6.54,NA,0.149384885764499,2021-02-17
"G2021011301003",2021-01-13,2021-02-16,"Hong Kong","503:HK",2.02,"closed",NA,NA,NA,2021-02-17
"G2021011403002",2021-01-14,2021-02-16,"United States","CEVA:US",56.4546,"closed",74.110001,NA,0.312736269497968,2021-02-17
"G2021011403003",2021-01-14,2021-02-16,"United States","CLNE:US",10.085,"closed",15.92,NA,0.578582052553297,2021-02-17
"G2021011403004",2021-01-14,2021-02-16,"United States","ROCK:US",95.48,"closed",96.220001,NA,0.00775032467532455,2021-02-17
"G2021011501002",2021-01-15,2021-02-16,"Japan","2804:JP",1970,"closed",2311,NA,0.173096446700508,2021-02-17
"G2021011501003",2021-01-15,2021-02-16,"Japan","2927:JP",907,"closed",1052,NA,0.15986769570011,2021-02-17
"G2021011501004",2021-01-15,2021-02-16,"Japan","6323:JP",8220,"closed",7930,NA,-0.0352798053527981,2021-02-17
"G2021011501005",2021-01-15,2021-02-16,"Japan","6944:JP",2097,"closed",2085,NA,-0.00572246065808302,2021-02-17
"G2021011501006",2021-01-15,2021-02-16,"Japan","7004:JP",645,"closed",660,NA,0.0232558139534884,2021-02-17
"G2021011503001",2021-01-15,2021-02-16,"Canada","BLX:CN",53.79,"closed",46.139999,NA,-0.142219762037553,2021-02-17
"G2021011802001",2021-01-18,2021-02-16,"Netherlands","HEIJM:NA",11.2,"closed",13.28,NA,0.185714285714286,2021-02-17
