"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020102701001",2020-10-27,2020-11-27,"Japan","2207:JP",1402,"closed",1504,NA,0.072753209700428,2020-11-28
"G2020102701002",2020-10-27,2020-11-27,"Japan","3371:JP",4490,"closed",3155,NA,-0.297327394209354,2020-11-28
"G2020102701003",2020-10-27,2020-11-27,"Japan","3796:JP",1001,"closed",889,NA,-0.111888111888112,2020-11-28
"G2020102701004",2020-10-27,2020-11-27,"Japan","3891:JP",1798,"closed",2380,NA,0.323692992213571,2020-11-28
"G2020102701005",2020-10-27,2020-11-27,"Japan","5009:JP",918,"closed",945,NA,0.0294117647058822,2020-11-28
"G2020102701006",2020-10-27,2020-11-27,"Japan","6666:JP",1298,"closed",1415,NA,0.0901386748844375,2020-11-28
"G2020102701007",2020-10-27,2020-11-27,"Japan","8168:JP",756,"closed",771,NA,0.0198412698412698,2020-11-28
"G2020102701008",2020-10-27,2020-11-27,"Japan","9759:JP",1804,"closed",2048,NA,0.135254988913525,2020-11-28
"G2020102701009",2020-10-27,2020-11-27,"Japan","9974:JP",6340,"closed",6370,NA,0.00473186119873814,2020-11-28
"G2020102902001",2020-10-29,2020-11-27,"Belgium","ECONB:BB",1.794,"closed",2.44,NA,0.360089186176143,2020-11-28
"G2020102902002",2020-10-29,2020-11-27,"Netherlands","FLOW:NA",28.22,"closed",NA,NA,NA,2020-11-28
