"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020073001002",2020-07-30,2020-08-31,"Japan","2790:JP",1880,"closed",2063,NA,0.0973404255319148,2020-09-01
"G2020073001003",2020-07-30,2020-08-31,"Japan","3546:JP",1475,"closed",1327,NA,-0.100338983050847,2020-09-01
"G2020073001004",2020-07-30,2020-08-31,"Japan","4465:JP",3060,"closed",NA,NA,NA,2020-09-01
"G2020073001005",2020-07-30,2020-08-31,"Japan","8168:JP",950,"closed",NA,NA,NA,2020-09-01
"G2020073001006",2020-07-30,2020-08-31,"Japan","8218:JP",3460,"closed",3285,NA,-0.0505780346820809,2020-09-01
"G2020073101001",2020-07-31,2020-08-31,"Hong Kong","317:HK",10.46,"closed",NA,NA,NA,2020-09-01
