"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020100801001",2020-10-08,2020-11-09,"Hong Kong","658:HK",7.9,"closed",6.02,NA,-0.237974683544304,2020-11-10
"G2020100801002",2020-10-08,2020-11-09,"Hong Kong","6865:HK",27.3,"closed",22.75,NA,-0.166666666666667,2020-11-10
"G2020100801003",2020-10-08,2020-11-09,"Japan","1811:JP",4710,"closed",4695,NA,-0.00318471337579618,2020-11-10
"G2020100801004",2020-10-08,2020-11-09,"Japan","3194:JP",3490,"closed",3490,NA,0,2020-11-10
"G2020100801005",2020-10-08,2020-11-09,"Japan","7228:JP",1962,"closed",2053,NA,0.0463812436289501,2020-11-10
"G2020100801006",2020-10-08,2020-11-09,"Japan","9360:JP",3555,"closed",2740,NA,-0.229254571026723,2020-11-10
