"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020120701001",2020-12-07,2021-01-08,"Australia","ANN:AU",34.45,"closed",35.029999,NA,0.0168359651669083,2021-01-09
"G2020120702002",2020-12-07,2021-01-08,"Norway","AZTO:NO",32.2,"closed",NA,NA,NA,2021-01-09
"G2020120702003",2020-12-07,2021-01-08,"Norway","BWLPGO:NO",58.1,"closed",66.75,NA,0.148881239242685,2021-01-09
"G2020120702004",2020-12-07,2021-01-08,"Sweden","ARP:SS",12,"closed",14.35,NA,0.195833333333333,2021-01-09
"G2020120702005",2020-12-07,2021-01-08,"Sweden","SVIK:SS",91.2,"closed",105.5,NA,0.156798245614035,2021-01-09
"G2020120702006",2020-12-07,2021-01-08,"United Kingdom","LOOP:LN",81.7,"closed",81,NA,-0.00856793145654833,2021-01-09
"G2020120703001",2020-12-07,2021-01-08,"Canada","BTB.UN:CN",3.79,"closed",3.58,NA,-0.0554089709762533,2021-01-09
"G2020120802001",2020-12-08,2021-01-08,"Italy","MOL:IM",31.75,"closed",NA,NA,NA,2021-01-09
"G2020120803002",2020-12-08,2021-01-08,"United States","BRFS:US",4.54,"closed",4.07,NA,-0.10352422907489,2021-01-09
"G2020120803003",2020-12-08,2021-01-08,"United States","CLNE:US",4.6243,"closed",10.25,NA,1.21655169431049,2021-01-09
"G2020120803004",2020-12-08,2021-01-08,"United States","LPG:US",11.59,"closed",14.43,NA,0.245038826574633,2021-01-09
"G2020120803005",2020-12-08,2021-01-08,"United States","SXC:US",5.49,"closed",5.45,NA,-0.0072859744990893,2021-01-09
"G2020120901001",2020-12-09,2021-01-08,"Japan","4115:JP",1798,"closed",NA,NA,NA,2021-01-09
"G2020120901002",2020-12-09,2021-01-08,"Japan","6264:JP",1256,"closed",NA,NA,NA,2021-01-09
"G2020120901003",2020-12-09,2021-01-08,"Japan","6315:JP",2028,"closed",NA,NA,NA,2021-01-09
"G2020120901004",2020-12-09,2021-01-08,"Japan","6331:JP",2986,"closed",NA,NA,NA,2021-01-09
"G2020120901005",2020-12-09,2021-01-08,"Japan","6785:JP",1037,"closed",NA,NA,NA,2021-01-09
"G2020120901006",2020-12-09,2021-01-08,"Japan","6928:JP",1436,"closed",NA,NA,NA,2021-01-09
