"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020071501001",2020-07-15,2020-08-13,"Hong Kong","1806:HK",3.24,"closed",3.1,NA,-0.04320987654321,2020-08-14
"G2020071501002",2020-07-15,2020-08-13,"Hong Kong","317:HK",10.18,"closed",NA,NA,NA,2020-08-14
"G2020071501003",2020-07-15,2020-08-13,"Hong Kong","6178:HK",10.34,"closed",NA,NA,NA,2020-08-14
"G2020071501004",2020-07-15,2020-08-13,"Hong Kong","819:HK",19.84,"closed",NA,NA,NA,2020-08-14
"G2020071502001",2020-07-15,2020-08-13,"Germany","CLIQ:GR",10.1,"closed",9.5,NA,-0.0594059405940593,2020-08-14
