"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020080601003",2020-08-06,2020-09-07,"Japan","2790:JP",2097,"closed",2211,NA,0.0543633762517883,2020-09-08
"G2020080601004",2020-08-06,2020-09-07,"Japan","3096:JP",1365,"closed",NA,NA,NA,2020-09-08
"G2020080601005",2020-08-06,2020-09-07,"Japan","3542:JP",3540,"closed",3315,NA,-0.0635593220338984,2020-09-08
"G2020080701001",2020-08-07,2020-09-07,"Hong Kong","1432:HK",0.89,"closed",0.63,NA,-0.292134831460674,2020-09-08
"G2020080701002",2020-08-07,2020-09-07,"Hong Kong","373:HK",70.7,"closed",NA,NA,NA,2020-09-08
