"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021021501001",2021-02-15,2021-03-17,"Japan","1419:JP",1936,"closed",2159,NA,0.115185950413223,2021-03-18
"G2021021501002",2021-02-15,2021-03-17,"Japan","2138:JP",2179,"closed",2100,NA,-0.0362551629187701,2021-03-18
"G2021021501003",2021-02-15,2021-03-17,"Japan","3298:JP",16760,"closed",18140,NA,0.0823389021479715,2021-03-18
"G2021021501004",2021-02-15,2021-03-17,"Japan","3463:JP",84000,"closed",88000,NA,0.0476190476190477,2021-03-18
"G2021021501005",2021-02-15,2021-03-17,"Japan","5938:JP",2972,"closed",3150,NA,0.059892328398385,2021-03-18
"G2021021501006",2021-02-15,2021-03-17,"Japan","6077:JP",1199,"closed",1197,NA,-0.00166805671392822,2021-03-18
"G2021021501007",2021-02-15,2021-03-17,"Japan","6627:JP",1123,"closed",1113,NA,-0.00890471950133576,2021-03-18
"G2021021501008",2021-02-15,2021-03-17,"Japan","8957:JP",178500,"closed",183100,NA,0.0257703081232492,2021-03-18
"G2021021501009",2021-02-15,2021-03-17,"Japan","8961:JP",148600,"closed",157600,NA,0.0605652759084792,2021-03-18
"G2021021601001",2021-02-16,2021-03-17,"Hong Kong","400:HK",3.45,"closed",2.53,NA,-0.266666666666667,2021-03-18
"G2021021602001",2021-02-16,2021-03-17,"Netherlands","BESI:NA",66.6,"closed",64,NA,-0.0390390390390389,2021-03-18
"G2021021602002",2021-02-16,2021-03-17,"Sweden","GETI-B:SS",232,"closed",233.600006,NA,0.00689657758620688,2021-03-18
"G2021021603001",2021-02-16,2021-03-17,"Canada","CGG:CN",3.74,"closed",NA,NA,NA,2021-03-18
"G2021021603002",2021-02-16,2021-03-17,"United States","AVNW:US",64.99,"closed",NA,NA,NA,2021-03-18
"G2021021603003",2021-02-16,2021-03-17,"United States","DOYU:US",18.99,"closed",13.29,NA,-0.300157977883096,2021-03-18
"G2021021603004",2021-02-16,2021-03-17,"United States","HIMX:US",15.98,"closed",13.39,NA,-0.162077596996245,2021-03-18
"G2021021603005",2021-02-16,2021-03-17,"United States","VHC:US",7.82,"closed",6.13,NA,-0.216112531969309,2021-03-18
