"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2020080501003",2020-08-05,2020-09-04,"Japan","2790:JP",2083,"closed",2288,NA,0.0984157465194431,2020-09-07
"G2020080501004",2020-08-05,2020-09-04,"Japan","3096:JP",1322,"closed",NA,NA,NA,2020-09-07
"G2020080501005",2020-08-05,2020-09-04,"Japan","3542:JP",3860,"closed",3490,NA,-0.0958549222797928,2020-09-07
"G2020080601001",2020-08-06,2020-09-04,"Hong Kong","1432:HK",0.85,"closed",0.65,NA,-0.235294117647059,2020-09-07
"G2020080601002",2020-08-06,2020-09-04,"Hong Kong","373:HK",68,"closed",3.675,NA,-0.945955882352941,2020-09-07
