"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021012701001",2021-01-27,2021-03-02,"Hong Kong","2883:HK",9.31,"closed",8.7,NA,-0.0655209452201935,2021-03-03
"G2021012801002",2021-01-28,2021-03-02,"Japan","1419:JP",1958,"closed",1874,NA,-0.0429009193054137,2021-03-03
"G2021012801003",2021-01-28,2021-03-02,"Japan","2804:JP",2355,"closed",2721,NA,0.155414012738853,2021-03-03
"G2021012801004",2021-01-28,2021-03-02,"Japan","2927:JP",1071,"closed",1012,NA,-0.0550887021475257,2021-03-03
"G2021012801005",2021-01-28,2021-03-02,"Japan","6627:JP",1152,"closed",1056,NA,-0.0833333333333334,2021-03-03
"G2021012903001",2021-01-29,2021-03-02,"United States","ACIA:US",114.325,"closed",114.989998,NA,0.00581673299803187,2021-03-03
"G2021012903002",2021-01-29,2021-03-02,"United States","CEVA:US",59,"closed",62.240002,NA,0.0549152881355932,2021-03-03
"G2021012903003",2021-01-29,2021-03-02,"United States","FIZZ:US",149.05,"closed",NA,NA,NA,2021-03-03
