"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021021801004",2021-02-18,2021-03-22,"Japan","2138:JP",2210,"closed",2227,NA,0.00769230769230766,2021-03-23
"G2021021801005",2021-02-18,2021-03-22,"Japan","3463:JP",84100,"closed",88700,NA,0.0546967895362664,2021-03-23
"G2021021801006",2021-02-18,2021-03-22,"Japan","5938:JP",2874,"closed",3205,NA,0.115170494084899,2021-03-23
"G2021021801007",2021-02-18,2021-03-22,"Japan","6077:JP",1198,"closed",1190,NA,-0.00667779632721199,2021-03-23
"G2021021901001",2021-02-19,2021-03-22,"Hong Kong","1263:HK",4.67,"closed",4.77,NA,0.0214132762312633,2021-03-23
"G2021021901002",2021-02-19,2021-03-22,"Hong Kong","400:HK",3.29,"closed",2.46,NA,-0.252279635258359,2021-03-23
"G2021021901003",2021-02-19,2021-03-22,"Hong Kong","43:HK",1,"closed",NA,NA,NA,2021-03-23
"G2021021903001",2021-02-19,2021-03-22,"Canada","CGG:CN",3.57,"closed",3.59,NA,0.00560224089635852,2021-03-23
"G2021021903002",2021-02-19,2021-03-22,"United States","CLGX:US",89.46,"closed",78.769997,NA,-0.11949477978985,2021-03-23
"G2021021903003",2021-02-19,2021-03-22,"United States","HIMX:US",15.06,"closed",14.35,NA,-0.0471447543160691,2021-03-23
"G2021021903004",2021-02-19,2021-03-22,"United States","TDC:US",47.38,"closed",43.59,NA,-0.0799915576192486,2021-03-23
