"trade_id","date_trade","date_exit","country","ticker","price_entry","status","price_exit","price_live","rtn_ccy","last_modification"
"G2021010601001",2021-01-06,2021-02-05,"Australia","AHY:AU",1.38,"closed",1.345,NA,-0.0253623188405796,2021-02-08
"G2021010601004",2021-01-06,2021-02-05,"Japan","5974:JP",1027,"closed",943,NA,-0.0817916260954236,2021-02-08
"G2021010601005",2021-01-06,2021-02-05,"Japan","6331:JP",2956,"closed",3065,NA,0.0368741542625168,2021-02-08
"G2021010601006",2021-01-06,2021-02-05,"Japan","7004:JP",588,"closed",649,NA,0.103741496598639,2021-02-08
"G2021010603002",2021-01-06,2021-02-05,"United States","CLNE:US",9.09,"closed",12.97,NA,0.426842684268427,2021-02-08
"G2021010603003",2021-01-06,2021-02-05,"United States","DJCO:US",379,"closed",335.51001,NA,-0.114749313984169,2021-02-08
"G2021010603004",2021-01-06,2021-02-05,"United States","ESI:US",18.92,"closed",17.48,NA,-0.0761099365750529,2021-02-08
"G2021010603005",2021-01-06,2021-02-05,"United States","FFHL:US",11.25,"closed",10.98,NA,-0.0239999999999999,2021-02-08
"G2021010603006",2021-01-06,2021-02-05,"United States","ROCK:US",92.2632,"closed",94.489998,NA,0.0241352782040944,2021-02-08
"G2021010603007",2021-01-06,2021-02-05,"United States","SWI:US",14.41,"closed",17.040001,NA,0.182512213740458,2021-02-08
"G2021010701002",2021-01-07,2021-02-05,"Hong Kong","1230:HK",0.8,"closed",0.7,NA,-0.125,2021-02-08
"G2021010701003",2021-01-07,2021-02-05,"Hong Kong","3993:HK",6.12,"closed",5.05,NA,-0.17483660130719,2021-02-08
"G2021010701004",2021-01-07,2021-02-05,"Hong Kong","503:HK",2,"closed",1.79,NA,-0.105,2021-02-08
"G2021010701005",2021-01-07,2021-02-05,"Hong Kong","6865:HK",37.15,"closed",NA,NA,NA,2021-02-08
"G2021010702001",2021-01-07,2021-02-05,"Italy","DGV:IM",40.9,"closed",40.400002,NA,-0.01222488997555,2021-02-08
"G2021010703001",2021-01-07,2021-02-05,"Canada","BLX:CN",52.38,"closed",50.639999,NA,-0.0332188048873616,2021-02-08
